dat...date.name.,SPOUT.LEFT.BOTTOM.1FI33513.PV,ROOF.HT.BAY.TOTAL.PWR.1CLBAYTOT_CPV,l_n.2_glass,TMP.GLASS..LEFT.EXIT.1TIC30109.PV,S_AB7_C4_L,re_btm_up_dn,cluster
2016-01-01 07,-1.464571838,0.777684639,4.788502224,-4.846904421,2.599428942,1.790303092,-1.747927838
2016-01-01 08,-1.432862426,0.777745519,4.781952421,-4.846904421,2.588703284,1.818160784,-1.747927838
2016-01-01 09,-1.43400556,0.839189453,4.776721658,-4.846904421,2.550174596,1.932813172,-1.747927838
2016-01-01 10,-1.396331608,0.843267164,4.7671998,-4.846904421,2.518260665,2.009586271,-1.747927838
2016-01-01 11,-1.322490714,0.841536336,4.806459834,-4.846904421,2.521009165,2.640360685,-1.747927838
2016-01-01 12,-1.187087168,0.854220786,4.807161709,-4.846904421,2.517980866,2.394384851,-1.747927838
2016-01-01 13,-1.029312338,0.878188149,4.788008573,-4.846904421,2.526362914,2.096984481,-1.747927838
2016-01-01 14,-0.973307469,0.887239482,4.782700648,-4.846904421,2.470171233,1.874612218,-1.747927838
2016-01-01 15,-0.925794507,0.87876202,4.777291221,-4.846904421,2.44182991,2.046187219,-1.747927838
2016-01-01 16,-0.899759631,0.828952423,4.766853631,-4.846904421,2.38669385,1.888834299,-1.747927838
2016-01-01 17,-0.896346718,0.873837571,4.787047687,-4.846904421,2.387969083,1.839269086,-1.747927838
2016-01-01 18,-0.899988127,0.926956923,4.844229791,-4.846904421,2.392660988,1.32426472,-1.747927838
2016-01-01 19,-0.89265009,0.925182966,4.829603639,-4.846904421,2.424474552,1.902615725,-1.747927838
2016-01-01 20,-0.911408375,0.926954922,4.782096344,-4.846904421,2.431158215,2.009166579,-1.747927838
2016-01-01 21,-0.915506688,0.931602349,4.771361737,-4.846904421,2.435984,2.094299323,-1.747927838
2016-01-01 22,-0.908184783,0.954342244,4.77169693,-4.846904421,2.408498145,2.137382832,-1.747927838
2016-01-01 23,-0.886503436,0.963029805,4.762573364,-4.846904421,2.40615922,2.113233816,-1.747927838
2016-01-02 00,-0.884904852,0.963520663,4.757120511,-4.846904421,2.44874235,2.107493634,-1.747927838
2016-01-02 01,-0.885315878,0.951313665,4.757908484,-4.846904421,2.43539602,2.102615992,-1.747927838
2016-01-02 03,-0.898434353,0.961800184,4.766030304,-4.846904421,2.340106752,2.242969981,-1.747927838
2016-01-02 04,-0.903899699,0.942625123,4.772012455,-4.846904421,2.273354036,2.238502838,-1.747927838
2016-01-02 05,-0.892841695,0.940937123,4.776090465,-4.846904421,2.239707387,2.245470033,-1.747927838
2016-01-02 06,-0.888462484,0.942880995,4.782182774,-4.846904421,2.206294883,2.323607343,-1.747927838
2016-01-02 07,-0.880706392,0.93611559,4.786269774,-4.846904421,2.199977946,2.297367758,-1.747927838
2016-01-02 08,-0.877655396,0.945598185,4.786302792,-4.846904421,2.1935867,2.30154951,-1.747927838
2016-01-02 09,-0.866049119,0.89373878,4.784972557,-4.846904421,2.188654494,2.261766098,-1.747927838
2016-01-02 10,-0.825296266,0.891622879,4.779659397,-4.846904421,2.200313314,2.079345329,-1.747927838
2016-01-02 11,-0.735227776,0.802579524,4.770360305,-4.846904421,2.212751069,2.362846027,-1.747927838
2016-01-02 12,-0.648305418,0.662267515,4.749201889,-4.846904421,2.207988719,2.45446848,-1.747927838
2016-01-02 13,-0.600191515,0.544712247,4.751924835,-4.846904421,2.218780856,2.380391673,-1.747927838
2016-01-02 14,-0.569859634,0.437757818,4.770965743,-4.846904421,2.156356738,1.525273884,-1.747927838
2016-01-02 15,-0.508364419,0.397458574,4.766684097,-4.846904421,2.103502323,1.945619703,-1.747927838
2016-01-02 16,-0.46660894,0.298602124,4.726940555,-4.846904421,2.075490384,2.123061297,-1.747927838
2016-01-02 17,-0.503140528,0.193125899,4.723104438,-4.846904421,2.007769864,2.137468853,-1.747927838
2016-01-02 18,-0.565369037,0.235779617,4.729032326,-4.846904421,2.002937923,2.195675432,-1.747927838
2016-01-02 19,-0.643043005,0.262597413,4.740074319,-4.846904421,2.006657886,2.297361879,-1.747927838
2016-01-02 20,-0.738702492,0.275552463,4.7585435,-4.846904421,1.978632747,2.453113797,-1.747927838
2016-01-02 21,-0.777937602,0.285846257,4.78779619,-4.846904421,1.974342519,2.681880449,-1.747927838
2016-01-02 22,-0.804136799,0.30854627,4.824375868,-4.846904421,1.944330785,3.044599956,-1.747927838
2016-01-02 23,-0.893541063,2.80400779,4.927973245,-4.846904421,1.905682715,2.956303055,-1.747927838
2016-01-03 01,-0.947834419,0.041004315,4.97852645,-4.846904421,1.646657422,2.961609928,-1.747927838
2016-01-03 02,-0.939417244,0.312049242,4.948833573,-4.846904421,1.675188537,2.785355305,-1.747927838
2016-01-03 03,-0.913314517,-0.215614647,4.867333054,-4.846904421,1.576763627,3.270516279,-1.747927838
2016-01-03 04,-0.906005364,0.089273582,4.849191416,-4.846904421,1.459453974,3.619940773,-1.747927838
2016-01-03 05,-0.904402005,0.061470897,4.840415084,-4.846904421,1.40074233,3.595702629,-1.747927838
2016-01-03 06,-0.899096621,0.083169063,4.830937319,-4.846904421,1.317045335,2.527855252,-1.747927838
2016-01-03 07,-0.894107306,0.126073593,4.842979284,-4.846904421,1.25433988,2.202319305,-1.747927838
2016-01-03 08,-0.896324269,0.139966702,4.851758413,-4.846904421,1.237039612,2.242529073,-1.747927838
2016-01-03 09,-0.895630773,0.179924229,4.859510583,-4.846904421,1.24369797,2.565841109,-1.724661025
2016-01-03 10,-0.887966554,0.203679757,4.864248345,-4.846904421,1.243349231,2.479257485,-1.724661025
2016-01-03 11,-0.854310193,0.263600355,4.8655937,-4.846904421,1.235294789,2.623910789,-1.724661025
2016-01-03 12,-0.798315229,0.263639142,4.851595816,-4.846904421,1.2505585,1.972229547,-1.724661025
2016-01-03 13,-0.771486474,0.316949407,4.806401447,-4.846904421,1.264001675,1.843270547,-1.724661025
2016-01-03 14,-0.724668727,0.3959173,4.810322479,-4.846904421,1.250749762,2.184885576,-1.724661025
